denuncia_id,fecha,comuna,motivo_denuncia,rubro
6461,2019-04-08,7,Falta de procesamiento de baja del servicio gastos asociados,SERVICIOS DE COMUNICACIONES
6462,2019-04-08,1,Falta de Entrega del bien,MUEBLES
6463,2019-04-08,12,Rechazo de la devolución del bien,"RODADOS, AUTOMOTORES Y EMBARCACIONES"
6464,2019-04-08,3,Cumplimiento parcial o defectuoso de la prestación del servicio - Débito de cargos indebidos no solicitados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6465,2019-04-08,4,Entrega Defectuosa - Producto dañado,"TEXTIL, CALZADO Y MARROQUINERÍA"
6466,2019-04-08,14,Problemas de fraude o estafa,SERVICIOS DE COMUNICACIONES
6467,2019-04-08,14,Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240,SERVICIOS DE COMUNICACIONES
6468,2019-04-08,13,Incumplimiento total de la prestación del servicio  contratado,"PELUQUERÍA, DEPILACIÓN, BELLEZA Y BIENESTAR FÍSICO"
6469,2019-04-08,6,Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240,ENSEÑANZA
6470,2019-04-08,13,Falta de Información,SERVICIOS DE COMUNICACIONES
6471,2019-04-08,7,Demora en la entrega del bien,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
6472,2019-04-08,1,Falta de Entrega del bien,"RODADOS, AUTOMOTORES Y EMBARCACIONES"
6474,2019-04-08,2,Incumplimiento total de la prestación del servicio  contratado,SERVICIOS DE COMUNICACIONES
6475,2019-04-08,15,Falta de procesamiento de baja del servicio gastos asociados,SERVICIOS DE COMUNICACIONES
6476,2019-04-08,1,Problemas con la devolución del bien o el reembolso de sumas - Restricciones abusivas en las modalidades de devolución o reembolso,INFORMÁTICA
6477,2019-04-08,13,"Débito o imposición de seguros no solicitados, convenidos o autorizados","SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6478,2019-04-08,13,Falta de Información,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6479,2019-04-08,3,Falta de Información,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6480,2019-04-08,15,Demora en la entrega del bien,TELEFONÍA Y REDES
6481,2019-04-08,12,Entrega Defectuosa - Producto dañado,"RODADOS, AUTOMOTORES Y EMBARCACIONES"
6482,2019-04-08,11,Deficiente calidad en la prestación del servicio,SERVICIOS DE COMUNICACIONES
6483,2019-04-08,12,Incumplimiento total de la prestación del servicio  contratado,SERVICIOS DE TRANSPORTE TERRESTRE DE PASAJEROS Y CARGAS
6484,2019-04-08,6,Falta de Información,ALIMENTOS Y BEBIDAS
6485,2019-04-08,13,Falta de información/ problemas de facturación servicios de roaming,SERVICIOS DE COMUNICACIONES
6486,2019-04-08,3,Entrega Defectuosa - Producto dañado,TELEFONÍA Y REDES
6487,2019-04-09,6,No reconocimiento de pagos,SERVICIOS Y EVENTOS DE ESPARCIMIENTO CULTURALES Y/O DEPORTIVOS
6488,2019-04-09,13,Prácticas Abusivas - Venta Engañosa,SERVICIOS DE TRANSPORTE TERRESTRE DE PASAJEROS Y CARGAS
6490,2019-04-09,7,Cumplimiento parcial o defectuoso de la prestación del servicio - Falta de o conectividad deficiente,SERVICIOS DE COMUNICACIONES
6491,2019-04-09,4,Deficiente calidad en la prestación del servicio,SERVICIOS DE COMUNICACIONES
6492,2019-04-09,14,Falta de procesamiento de baja del servicio gastos asociados,SERVICIOS DE COMUNICACIONES
6493,2019-04-09,15,Demora en la entrega del bien,"TEXTIL, CALZADO Y MARROQUINERÍA"
6494,2019-04-09,1,Falta de procesamiento de baja del servicio/ gastos asociados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6495,2019-04-09,13,Cláusulas abusivas o no convenidas,SERVICIOS Y EVENTOS DE ESPARCIMIENTO CULTURALES Y/O DEPORTIVOS
6496,2019-04-09,14,"Débito o imposición de seguros no solicitados, convenidos o autorizados","SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6497,2019-04-09,15,Problemas de fraude o estafa,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6499,2019-04-09,6,"Débito o imposición de seguros no solicitados, convenidos o autorizados","SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6500,2019-04-09,11,Entrega Defectuosa - Faltante de partes o accesorios,CONSTRUCCIÓN Y EQUIPAMIENTO DEL HOGAR
6501,2019-04-09,7,Cumplimiento parcial o defectuoso de la prestación del servicio - Sin Tono/Línea,SERVICIOS DE COMUNICACIONES
6502,2019-04-09,6,Cumplimiento parcial o defectuoso de la prestación del servicio - Débito de cargos indebidos no solicitados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6503,2019-04-09,15,Falta de procesamiento de baja del servicio/ gastos asociados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6504,2019-04-09,14,Falta de Información,SERVICIOS DE TRANSPORTE TERRESTRE DE PASAJEROS Y CARGAS
6505,2019-04-09,6,"Débito o imposición de seguros no solicitados, convenidos o autorizados","SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6507,2019-04-09,13,Falta de procesamiento de baja del servicio gastos asociados,SERVICIOS DE COMUNICACIONES
6508,2019-04-09,14,Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.241 - No reconocimiento de pagos,ALIMENTOS Y BEBIDAS
6509,2019-04-09,7,Entrega Defectuosa - Producto dañado,"RODADOS, AUTOMOTORES Y EMBARCACIONES"
6510,2019-04-09,2,Precios - Precio excesivo,SERVICIOS DE COMUNICACIONES
6511,2019-04-09,7,"Débito o imposición de seguros no solicitados, convenidos o autorizados","SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6512,2019-04-09,6,"Falta de entrega o emisión del documento de contratación del servicio: presupuestos, constancias de pagos,   solicitud de servicios, reglamento general de prestaciones.",SERVICIOS DE COMUNICACIONES
6513,2019-04-09,14,Falta de Información,SERVICIOS DE COMUNICACIONES
6514,2019-04-09,14,Problemas de fraude o estafa,SERVICIOS DE COMUNICACIONES
6515,2019-04-09,6,Cumplimiento parcial o defectuoso de la prestación del servicio - Débito de cargos indebidos no solicitados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6516,2019-04-09,3,Cumplimiento parcial o defectuoso de la prestación del servicio - Falta de o conectividad deficiente,SERVICIOS DE COMUNICACIONES
6517,2019-04-09,7,Falta de procesamiento de baja del servicio gastos asociados,SERVICIOS DE COMUNICACIONES
6518,2019-04-09,3,Problemas con la devolución del bien o el reembolso de sumas - Falta de restitución del valor de la compra,MUEBLES
6519,2019-04-09,13,Incumplimiento de Garantía de Servicios,SERVICIOS DE CONSTRUCCIÓN PARA EL HOGAR Y COMERCIALIZACIÓN DE INMUEBLES
6520,2019-04-09,3,Prácticas Abusivas - Venta Engañosa,SERVICIOS DE COMUNICACIONES
6521,2019-04-09,6,Falta de Información,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6522,2019-04-09,6,No reconocimiento de pagos,MUEBLES
6524,2019-04-09,3,Falta de procesamiento de baja del servicio/ gastos asociados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6525,2019-04-09,6,Cumplimiento parcial o defectuoso de la prestación del servicio - Falta de o conectividad deficiente,SERVICIOS DE COMUNICACIONES
6526,2019-04-09,11,Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6527,2019-04-09,2,Producto no funciona,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
6528,2019-04-09,11,Problemas de fraude o estafa,SALUD
6529,2019-04-09,11,Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6530,2019-04-09,13,Producto no funciona,INFORMÁTICA
6531,2019-04-09,6,"Falta de entrega o emisión del documento de contratación del servicio: presupuestos, constancias de pagos,   solicitud de servicios, reglamento general de prestaciones.",SERVICIOS DE COMUNICACIONES
6532,2019-04-09,4,Producto no funciona,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
6533,2019-04-09,11,Rechazo de la devolución del bien,CONSTRUCCIÓN Y EQUIPAMIENTO DEL HOGAR
6536,2019-04-09,15,Cumplimiento parcial o defectuoso de la prestación del servicio - Extravio o rotura de prendas,"LAVANDERÍA, TINTORERÍA Y LIMPIEZA"
6537,2019-04-09,2,Incumplimiento total de la prestación del servicio  contratado,"Servicios turísticos hoteles, hosterías, albergues, etc."
6538,2019-04-09,1,Falta de Información,SERVICIOS DE COMUNICACIONES
6539,2019-04-09,3,Falta de procesamiento de baja del servicio gastos asociados,SERVICIOS DE COMUNICACIONES
6540,2019-04-09,1,Falta de Información,"RODADOS, AUTOMOTORES Y EMBARCACIONES"
6541,2019-04-09,7,Cumplimiento parcial o defectuoso de la prestación del servicio - No reconocimiento del pago de la cuota o de copago,SALUD
6542,2019-04-09,7,Cumplimiento parcial o defectuoso de la prestación del servicio - Débito de cargos indebidos no solicitados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6543,2019-04-09,13,Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240,SERVICIOS DE COMUNICACIONES
6544,2019-04-09,7,Falta de procesamiento de baja del servicio/ gastos asociados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6545,2019-04-09,2,Producto no funciona,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
6546,2019-04-09,13,Falta de procesamiento de baja del servicio/ gastos asociados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6547,2019-04-09,13,Falta de procesamiento de baja del servicio/ gastos asociados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6548,2019-04-09,11,Demora en la entrega del bien,MUEBLES
6549,2019-04-09,11,Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240,MUEBLES
6550,2019-04-09,13,Incumplimiento total de la prestación del servicio  contratado,"PELUQUERÍA, DEPILACIÓN, BELLEZA Y BIENESTAR FÍSICO"
6551,2019-04-09,6,Cumplimiento parcial o defectuoso de la prestación del servicio - Falta de o conectividad deficiente,SERVICIOS DE COMUNICACIONES
6552,2019-04-09,1,Falta de Información,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6553,2019-04-09,6,Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240,"RODADOS, AUTOMOTORES Y EMBARCACIONES"
6554,2019-04-09,3,"Débito o imposición de seguros no solicitados, convenidos o autorizados","SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6555,2019-04-09,7,Demora en la entrega del bien,"RODADOS, AUTOMOTORES Y EMBARCACIONES"
6556,2019-04-09,13,Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.241 - Prácticas Abusivas - Venta  Engañosa,ALIMENTOS Y BEBIDAS
6557,2019-04-09,13,Problemas de fraude o estafa,SERVICIOS DE COMUNICACIONES
6558,2019-04-10,14,Incumplimiento del servicio,COMPRA POR INTERNET
6559,2019-04-10,13,Cumplimiento parcial o defectuoso de la prestación del servicio - Débito de cargos indebidos no solicitados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6560,2019-04-10,6,Cumplimiento parcial o defectuoso de la prestación del servicio - Demora en el cumplimiento de la prestación,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6561,2019-04-10,7,Entrega Defectuosa Producto en mal estado,ALIMENTOS Y BEBIDAS
6562,2019-04-10,6,Falta de procesamiento de baja del servicio/ gastos asociados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6563,2019-04-10,6,Falta de procesamiento de baja del servicio/ gastos asociados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6564,2019-04-10,7,Garantía de Bienes. Art 11  Ley 24.240 - Reparación insatisfactoria,"RODADOS, AUTOMOTORES Y EMBARCACIONES"
6565,2019-04-10,15,Problemas de fraude o estafa,"RODADOS, AUTOMOTORES Y EMBARCACIONES"
6567,2019-04-10,11,Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240,INFORMÁTICA
6569,2019-04-10,2,Deficiente calidad en la prestación del servicio,SERVICIOS DE CONSTRUCCIÓN PARA EL HOGAR Y COMERCIALIZACIÓN DE INMUEBLES
6570,2019-04-10,12,Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240,SERVICIOS DE COMUNICACIONES
6571,2019-04-10,14,Falta de procesamiento de baja del servicio/ gastos asociados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6573,2019-04-10,14,Falta de procesamiento de baja del servicio/ gastos asociados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6574,2019-04-10,15,Baja de efectores y/o profesionales de la  cartilla de prestaciones médicas - No notificados con antelación debida ,SALUD
6575,2019-04-10,2,Incumplimiento total de la prestación del servicio  contratado,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6576,2019-04-10,11,Incumplimiento total de la prestación del servicio  contratado,"REPARACIÓN DE RODADOS, AUTOMOTORES Y EMBARCACIONES"
6577,2019-04-10,3,Producto no funciona,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
6578,2019-04-10,9,Falta de Información,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6580,2019-04-10,13,"Falta de entrega del documento de venta del producto: factura, remito, ticket, etc.",ELECTRÓNICA
6581,2019-04-10,11,Incumplimiento total de la prestación del servicio  contratado,SERVICIOS DE COMUNICACIONES
6582,2019-04-10,3,Falta de cumplimento garantía posventa,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
6584,2019-04-10,11,No reconocimiento de pagos,SERVICIOS DE COMUNICACIONES
6585,2019-04-10,3,Entrega Defectuosa - Faltante de partes o accesorios,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
6586,2019-04-10,13,Entrega Defectuosa - Producto dañado,"TEXTIL, CALZADO Y MARROQUINERÍA"
6587,2019-04-10,15,Cobro de gastos de entrega no informados o convenidos,"RODADOS, AUTOMOTORES Y EMBARCACIONES"
6588,2019-04-10,14,Cumplimiento parcial o defectuoso de la prestación del servicio - Demora en el cumplimiento de la prestación,SERVICIOS DE COMUNICACIONES
6589,2019-04-10,12,Garantía de Bienes. Art 11  Ley 24.240 - Reparación insatisfactoria,ELECTRÓNICA
6590,2019-04-10,2,Cumplimiento parcial o defectuoso de la prestación del servicio - Débito de cargos indebidos no solicitados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6591,2019-04-10,1,Incumplimiento total de la prestación del servicio  contratado,SERVICIOS DE TRANSPORTE TERRESTRE DE PASAJEROS Y CARGAS
6593,2019-04-10,3,No reconocimiento de pagos,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6594,2019-04-10,12,Entrega Defectuosa - Producto dañado,"TEXTIL, CALZADO Y MARROQUINERÍA"
6595,2019-04-10,11,Incumplimiento total de la prestación del servicio  contratado,SERVICIOS DE TRANSPORTE TERRESTRE DE PASAJEROS Y CARGAS
6596,2019-04-10,2,Deficiente calidad en la prestación del servicio,SERVICIOS DE CONSTRUCCIÓN PARA EL HOGAR Y COMERCIALIZACIÓN DE INMUEBLES
6597,2019-04-10,3,Cumplimiento parcial o defectuoso de la prestación del servicio - Débito de cargos indebidos no solicitados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6598,2019-04-10,2,Cumplimiento parcial o defectuoso de la prestación del servicio - Débito de cargos indebidos no solicitados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6599,2019-04-10,3,"Débito o imposición de seguros no solicitados, convenidos o autorizados","SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6600,2019-04-10,3,Falta de Información,SERVICIOS DE COMUNICACIONES
6601,2019-04-10,11,Falta de cumplimento garantía posventa,"RODADOS, AUTOMOTORES Y EMBARCACIONES"
6602,2019-04-10,3,Incumplimiento total de la prestación del servicio  contratado,ESTACIONAMIENTOS Y GUARDAMUEBLES
6603,2019-04-10,9,Prácticas Abusivas - Venta  Engañosa,"TEXTIL, CALZADO Y MARROQUINERÍA"
6605,2019-04-10,11,Falta de procesamiento de baja del servicio/ gastos asociados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6606,2019-04-10,2,Producto no funciona,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
6607,2019-04-10,13,Entrega Defectuosa - Producto dañado,ELECTRÓNICA
6608,2019-04-10,15,"Falta de entrega o emisión del documento de contratación del servicio: presupuestos, constancias de pagos,   solicitud de servicios, reglamento general de prestaciones.",SERVICIOS DE COMUNICACIONES
6609,2019-04-10,7,Entrega Defectuosa - Producto dañado,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
6610,2019-04-10,1,Prácticas Abusivas - Venta  Engañosa,"RODADOS, AUTOMOTORES Y EMBARCACIONES"
6611,2019-04-10,1,Demora en la entrega del bien,MUEBLES
6612,2019-04-10,11,Entrega Defectuosa - Faltante de partes o accesorios,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
6614,2019-04-10,1,Producto no funciona,TELEFONÍA Y REDES
6615,2019-04-10,2,Falta de Información,SERVICIOS DE TRANSPORTE TERRESTRE DE PASAJEROS Y CARGAS
6616,2019-04-10,6,Garantía de Bienes. Art 11  Ley 24.240 - Reparación insatisfactoria,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
6617,2019-04-10,15,Cumplimiento parcial o defectuoso de la prestación del servicio - Falta de o conectividad deficiente,SERVICIOS DE COMUNICACIONES
6618,2019-04-10,13,Garantía de Bienes. Art 11  Ley 24.240 - Falta de suministro de partes y accesorios,"RODADOS, AUTOMOTORES Y EMBARCACIONES"
6619,2019-04-10,1,Falta de Entrega del bien,INSTRUMENTOS MUSICALES
6620,2019-04-10,2,Cumplimiento parcial o defectuoso de la prestación del servicio - Tareas o prestaciones pendientes,SERVICIOS DE COMUNICACIONES
6621,2019-04-10,7,Producto no funciona,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
6623,2019-04-11,14,Incumplimiento total de la prestación del servicio  contratado,SERVICIOS DE COMUNICACIONES
6624,2019-04-11,13,Precios - Precio excesivo,SERVICIOS DE COMUNICACIONES
6626,2019-04-11,7,Cumplimiento parcial o defectuoso de la prestación del servicio - Demora en el cumplimiento de la prestación,SERVICIOS DE CONSTRUCCIÓN PARA EL HOGAR Y COMERCIALIZACIÓN DE INMUEBLES
6627,2019-04-11,11,Garantía de Bienes. Art 11  Ley 24.240 - Reparación insatisfactoria,"RELOJERÍA, JOYERÍA Y TABAQUERÍA"
6629,2019-04-11,6,Cláusulas abusivas o no convenidas,SALUD
6631,2019-04-11,1,Precios - Precio excesivo,SERVICIOS DE COMUNICACIONES
6632,2019-04-11,9,Falta de procesamiento de baja del servicio gastos asociados,SERVICIOS DE COMUNICACIONES
6633,2019-04-11,13,Incumplimiento total de la prestación del servicio  contratado,SEGURIDAD
6634,2019-04-11,4,Entrega Defectuosa - Producto dañado,"RELOJERÍA, JOYERÍA Y TABAQUERÍA"
6635,2019-04-11,7,Entrega Defectuosa - Producto dañado,"TEXTIL, CALZADO Y MARROQUINERÍA"
6636,2019-04-11,7,Falta de cumplimento garantía posventa,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
6637,2019-04-11,13,Demora en la entrega del bien,MUEBLES
6639,2019-04-11,9,Cumplimiento parcial o defectuoso de la prestación del servicio - Débito de cargos indebidos no solicitados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6641,2019-04-11,3,Falta de procesamiento de baja del servicio/ gastos asociados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6642,2019-04-11,12,Producto no funciona,"RODADOS, AUTOMOTORES Y EMBARCACIONES"
6644,2019-04-11,14,Falta de Entrega del bien,INFORMÁTICA
6645,2019-04-11,14,"Débito o imposición de seguros no solicitados, convenidos o autorizados","SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6647,2019-04-11,12,Cumplimiento parcial o defectuoso de la prestación del servicio - Baja/Alta tensión en el suministro eléctrico,SERVICIOS PÚBLICOS DOMICILIARIOS
6648,2019-04-11,7,Falta o retención de Producto - Retención o  acaparamiento,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
6650,2019-04-11,7,Falta de Entrega del bien,ALIMENTOS Y BEBIDAS
6651,2019-04-11,3,Deficiente calidad en la prestación del servicio,"Servicios turísticos hoteles, hosterías, albergues, etc."
6652,2019-04-11,6,Falta de Entrega del bien,ALIMENTOS Y BEBIDAS
6653,2019-04-11,14,Incumplimiento total de la prestación del servicio  contratado,SERVICIOS DE COMUNICACIONES
6655,2019-04-11,6,Extravío o hurto de mercaderías transportadas,SERVICIOS DE TRANSPORTE TERRESTRE DE PASAJEROS Y CARGAS
6656,2019-04-11,12,Incumplimiento total de la prestación del servicio  contratado,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6658,2019-04-11,14,Existencia de cláusulas ,SERVICIOS DE COMUNICACIONES
6660,2019-04-11,11,Falta de procesamiento de baja del servicio/ gastos asociados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6661,2019-04-11,2,Prácticas Abusivas - Acoso,SERVICIOS DE COMUNICACIONES
6663,2019-04-11,9,Cumplimiento parcial o defectuoso de la prestación del servicio - Débito de cargos indebidos no solicitados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6664,2019-04-11,12,Falta de cumplimento garantía posventa,CONSTRUCCIÓN Y EQUIPAMIENTO DEL HOGAR
6665,2019-04-11,13,Bloqueo de la tarjeta,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6666,2019-04-11,15,Deficiente calidad en la prestación del servicio,"PELUQUERÍA, DEPILACIÓN, BELLEZA Y BIENESTAR FÍSICO"
6667,2019-04-11,6,Cobro de gastos de entrega no informados o convenidos,FARMACIA Y PRODUCTOS PARA LA SALUD
6668,2019-04-11,11,Falta de cumplimento garantía posventa,DEPORTES Y RECREACIÓN
6669,2019-04-11,7,Cumplimiento parcial o defectuoso de la prestación del servicio - Débito de cargos indebidos no solicitados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6670,2019-04-11,14,Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6671,2019-04-11,9,Deficiente calidad en la prestación del servicio,SERVICIOS DE COMUNICACIONES
6672,2019-04-11,13,Producto no funciona,ELECTRÓNICA
6673,2019-04-11,14,Cláusulas abusivas o no convenidas,ELECTRÓNICA
6674,2019-04-11,2,Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240,TELEFONÍA Y REDES
6676,2019-04-11,4,Cláusulas abusivas o no convenidas,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6677,2019-04-11,2,Incumplimiento total de la prestación del servicio  contratado,SERVICIOS DE COMUNICACIONES
6678,2019-04-11,2,Cláusulas abusivas o no convenidas,"RODADOS, AUTOMOTORES Y EMBARCACIONES"
6679,2019-04-12,13,Producto no funciona,ELECTRODOMÉSTICOS Y ARTEFACTOS PARA EL HOGAR
6680,2019-04-12,4,"Falta de entrega o emisión del documento de contratación del servicio: presupuestos, constancias de pagos,   solicitud de servicios, reglamento general de prestaciones.",SERVICIOS DE COMUNICACIONES
6681,2019-04-12,13,Cumplimiento parcial o defectuoso de la prestación del servicio - Demora en el cumplimiento de la prestación,"REPARACIÓN DE RODADOS, AUTOMOTORES Y EMBARCACIONES"
6682,2019-04-12,15,Incumplimiento total de la prestación del servicio  contratado,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6683,2019-04-12,14,Incumplimiento total de la prestación del servicio  contratado,SERVICIOS DE COMUNICACIONES
6684,2019-04-12,6,Cumplimiento parcial o defectuoso de la prestación del servicio - Demora en el cumplimiento de la prestación,SERVICIOS DE COMUNICACIONES
6685,2019-04-12,7,No reconocimiento de pagos,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6686,2019-04-12,15,No reconocimiento de pagos,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6687,2019-04-12,3,Cumplimiento parcial o defectuoso de la prestación del servicio - Tareas o prestaciones pendientes,SERVICIOS DE COMUNICACIONES
6688,2019-04-12,14,Cancelación o supresión de vuelos ,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6689,2019-04-12,13,Deficiente calidad en la prestación del servicio,SERVICIOS DE TRANSPORTE TERRESTRE DE PASAJEROS Y CARGAS
6690,2019-04-12,2,Cumplimiento parcial o defectuoso de la prestación del servicio - Débito de cargos indebidos no solicitados,"SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6691,2019-04-12,6,Producto no funciona,"TEXTIL, CALZADO Y MARROQUINERÍA"
6692,2019-04-12,15,"Débito o imposición de seguros no solicitados, convenidos o autorizados","SERVICIOS FINANCIEROS (TARJETAS DE CRÉDITO, BANCOS FINANCIERAS, ETC.)"
6694,2019-04-12,3,Falta de Entrega del bien,"TEXTIL, CALZADO Y MARROQUINERÍA"
